food_id,food_name,category,calories_kcal,protein_g,fat_g,carbohydrates_g,fiber_g,sugar_g,sodium_mg,potassium_mg,vitamin_c_mg,iron_mg,calcium_mg,water_content_pct,glycemic_index,serving_size_g,country_of_origin,data_source,year_recorded
14,Pineapple (Aj),Oils,50.5,14.4,40.825,90.64,9.12,58.44,186.1,510.6,76.89,15.79,339.7,95.8,51.0,204.3,Mexico,FAO,2021
15,Egg (Re),Nuts & Seeds,108.2,15.24,19.1,52.31,0.73,28.81,898.7,1013.7,11.35,19.33,473.4,86.2,75.0,244.9,China,Kaggle FoodDB,2020
16,Pasta (Ol),Dairy,489.0,12.47,36.485,27.86,1.76,31.86,40.7,859.9,108.71,5.76,262.1,58.5,34.0,176.5,China,FAO,2021
17,Oats (Ou),Fruits,331.9,18.95,44.69,68.97,7.98,31.15,743.4,176.8,137.21,9.62,286.7,6.9,97.0,13.2,Usa,OpenFoodFacts,2022
18,Cottage Cheese (Lc),Fruits,58.0,3.14,64.47,62.614999999999995,4.0,51.45,647.3,130.2,162.14,1.27,259.0,14.5,93.0,167.7,China,Kaggle FoodDB,2023
19,Lamb (Nu),Seafood,79.5,37.43,10.03,56.13,0.87,20.54,444.0,1040.6,50.01,7.5,292.7,93.6,27.0,224.4,Canada,USDA,2019
20,Bell Pepper (Mr),Dairy,224.1,44.1,8.72,62.44,18.6,44.19,1445.3,310.4,64.44,9.02,89.6,36.2,5.0,28.7,Uk,Kaggle FoodDB,2018
21,Mushroom (Mb),Legumes,438.9,19.725,15.57,86.27,10.09,56.93,390.3,1095.6,7.54,2.72,364.7,17.1,4.0,252.1,Mexico,NutritionData.self.com,2020
22,Mango,Proteins,30.9,44.76,62.78,116.6,7.02,27.875,1211.7,198.3,104.76,5.77,203.0,21.9,4.0,232.4,Brazil,NutritionData.self.com,2020
23,Egg,Legumes,663.7,22.2,39.825,49.02,13.66,43.04,39.1,1043.7,80.43,6.81,69.6,40.5,78.0,131.3,Uk,NutritionData.self.com,2022
24,Zucchini (Ml),Fruits,496.3,49.93,66.69,94.58,14.11,18.62,1750.5,668.7,98.905,17.11,230.9,35.5,16.0,168.5,Brazil,USDA,2023
25,Tomato,Fruits,456.04999999999995,24.165,48.5,99.1,11.2,30.21,695.9,515.5,100.81,1.76,414.7,72.7,63.0,61.0,Mexico,USDA,2020
26,Tofu (Yu),Seafood,23.7,33.58,63.99,6.42,5.99,20.95,1143.5,1044.2,24.31,9.21,193.0,70.0,108.0,140.4,Australia,NutritionData.self.com,2023
27,Turkey Breast,Grains,335.8,33.89,29.14,60.75,6.7,15.45,1592.6,975.5,117.76,19.17,469.9,34.3,38.0,114.3,Australia,USDA,2023
28,Almonds,Proteins,674.7,8.82,18.15,7.68,15.04,26.63,943.9,838.9,145.36,9.76,416.5,36.6,5.0,235.0,Uk,USDA,2021
29,Shrimp,Nuts & Seeds,500.9,32.21,14.68,91.32,6.17,33.52,595.4,896.6,91.89,15.47,41.8,25.3,4.0,116.4,Usa,FAO,2020
30,Blueberries (Rv),Dairy,672.6,13.56,35.29,19.57,18.54,4.97,867.8,928.7,110.32,4.94,212.2,93.4,46.0,68.6,Uk,Kaggle FoodDB,2022
31,Lamb,Seafood,96.5,25.54,66.84,106.65,6.77,14.17,1375.1,109.3,54.68,0.66,121.8,52.9,95.0,195.1,China,Kaggle FoodDB,2020
32,Tomato,Grains,445.2,13.57,12.3,38.41,1.92,2.44,554.5,523.1,191.55,1.65,467.4,69.4,52.5,176.6,Germany,USDA,2021
33,Apple (Zu),Fruits,752.5,37.77,9.06,103.85,1.46,28.06,1024.0,613.9,152.25,16.59,488.5,76.8,55.0,133.7,India,NutritionData.self.com,2021
34,Brown Rice,Legumes,366.3,9.11,78.6,99.99,6.05,18.02,732.3,625.3,107.97,9.92,237.7,48.5,6.0,198.7,Canada,Kaggle FoodDB,2020
35,Peanut Butter,Dairy,361.3,22.12,70.32,5.61,2.47,39.93,1395.4,422.0,101.165,0.92,168.2,62.4,30.0,281.5,India,NutritionData.self.com,2021
36,Blueberries,Dairy,201.7,48.28,27.16,31.13,14.71,44.06,1585.0,687.0,41.64,18.21,140.0,63.1,74.0,249.8,Brazil,NutritionData.self.com,2018
37,Beef (Lean),Nuts & Seeds,409.9,33.96,57.92,65.03,10.285,17.64,588.8,348.8,115.09,13.3,467.3,89.5,86.0,238.2,Usa,NutritionData.self.com,2024
38,Chicken Breast,Vegetables,340.8,25.66,3.48,35.03,13.0,33.52,1201.7,1148.2,94.49,10.72,474.4,60.0,82.0,237.5,China,Kaggle FoodDB,2022
39,Avocado (Or),Dairy,765.4,21.35,56.95,29.15,1.9,6.17,198.2,28.2,121.8,6.29,171.6,83.0,6.0,90.6,Germany,NutritionData.self.com,2020
40,Lentils (Rx),Nuts & Seeds,575.7,42.83,29.11,119.67,11.53,38.86,1038.8,980.4,54.72,19.79,354.7,87.9,5.0,246.5,Brazil,NutritionData.self.com,2020
41,Almonds,Proteins,578.9,0.81,39.05,47.4,7.7,40.67,710.9,308.6,199.14,18.54,217.0,7.6,69.0,23.3,Germany,Kaggle FoodDB,2022
42,Cheddar Cheese,Oils,435.1,49.42,56.33,80.39,10.085,16.37,43.4,1176.4,118.81,0.16,306.9,16.1,104.0,156.2,India,USDA,2021
43,Banana,Seafood,873.5,15.71,68.24,93.13,2.32,31.53,640.2,490.9,186.19,9.57,334.9,46.3,54.0,245.2,Germany,FAO,2021
44,Bell Pepper (Gg),Dairy,721.9,24.73,24.21,94.42,7.45,52.04,1331.6,833.8,167.35,6.61,134.8,25.7,76.0,294.5,Mexico,FAO,2020
45,Corn,Proteins,66.4,6.23,9.86,97.87,4.43,58.16,831.4,568.2,90.34,17.98,486.8,67.9,23.0,143.8,Mexico,USDA,2024
46,White Rice,Seafood,863.1,1.81,41.56,75.58,7.69,52.6,421.1,947.1,70.85,18.42,159.2,42.5,47.0,281.2,Brazil,USDA,2024
47,Bell Pepper,Oils,435.1,22.8,12.47,52.77,2.82,20.18,937.95,958.8,97.58,5.99,8.8,88.8,90.0,95.6,Usa,FAO,2023
48,Pineapple,Seafood,817.5,41.58,19.39,106.69,9.54,28.635,448.8,743.0,101.77,16.72,329.5,49.4,30.0,158.1,Canada,Kaggle FoodDB,2022
49,Sweet Potato,Proteins,747.2,38.11,75.61,94.36,8.8,2.99,1010.2,401.6,129.87,6.51,246.5,29.8,31.0,201.6,China,OpenFoodFacts,2023
50,Mango,Fruits,69.9,29.02,78.53,17.15,1.55,1.68,373.1,578.9,155.49,17.59,172.4,47.9,99.0,118.4,Australia,NutritionData.self.com,2020
51,White Rice,Dairy,149.5,35.92,42.99,32.46,11.38,14.58,997.7,782.7,98.15,0.79,326.3,24.7,35.0,286.2,India,NutritionData.self.com,2024
52,Corn,Nuts & Seeds,38.7,46.81,13.35,91.73,0.47,31.29,1107.0,895.4,189.44,6.4,351.4,29.7,34.0,172.6,Uk,USDA,2021
53,Oats (Ys),Seafood,357.8,23.665,70.17,76.92,6.24,5.78,164.2,341.7,198.34,12.84,479.3,62.3,21.0,133.0,Canada,USDA,2023
54,Turkey Breast,Seafood,457.15,11.34,0.8,102.43,6.78,30.99,1426.8,131.0,11.4,10.56,361.0,28.8,98.0,46.3,Nigeria,NutritionData.self.com,2021
55,Chicken Breast,Oils,840.8,5.87,24.62,71.63,0.22,13.53,72.2,1156.7,67.68,15.87,249.2,42.6,108.0,140.9,India,FAO,2018
56,Cheddar Cheese (La),Grains,588.1,11.13,17.57,27.1,0.84,29.57,1111.7,953.2,91.25,9.45,229.9,69.6,56.0,176.9,Brazil,Kaggle FoodDB,2018
57,Apple,Vegetables,461.9,25.66,75.03,17.98,9.98,31.35,539.0,312.1,151.06,18.59,451.9,29.2,25.0,116.8,Mexico,FAO,2023
58,Almonds (Se),Dairy,640.0,5.13,51.58,62.44,6.47,0.61,1106.7,620.0,91.57,10.05,356.6,69.1,52.0,132.6,Brazil,NutritionData.self.com,2024
59,Orange (Up),Legumes,103.6,8.69,39.825,46.02,10.27,47.17,976.4,492.3,22.44,3.3,79.2,53.5,80.0,97.6,Australia,NutritionData.self.com,2021
60,Tuna (Canned) (Wz),Grains,633.7,20.96,56.22,58.74,6.82,37.67,89.9,301.8,98.29,0.93,85.2,66.2,3.0,295.9,Nigeria,OpenFoodFacts,2019
61,Onion (Ir),Oils,42.3,9.28,75.73,69.09,19.37,47.82,309.2,79.7,91.6,2.23,341.6,41.8,21.0,241.3,China,NutritionData.self.com,2020
62,Turkey Breast,Fruits,432.5,48.61,38.84,16.37,9.864999999999998,0.81,1004.8,1071.9,27.67,2.56,327.8,19.1,13.0,96.3,Mexico,OpenFoodFacts,2018
63,Bell Pepper,Legumes,735.4,27.32,59.87,10.5,4.92,12.81,1542.7,1091.3,80.33,2.28,359.7,3.2,52.0,259.5,Uk,OpenFoodFacts,2019
64,Beef (Lean) (Rs),Dairy,497.6,1.93,36.485,83.03,8.54,16.72,86.1,1102.2,180.27,16.74,87.5,30.6,49.0,60.0,Uk,OpenFoodFacts,2019
65,Lentils,Grains,321.5,28.74,15.69,63.58,11.06,13.55,1113.0,334.2,107.71,13.63,29.2,33.1,58.0,138.8,Canada,OpenFoodFacts,2018
66,Peas (Bm),Oils,122.2,5.12,36.7,17.72,12.19,39.67,1615.5,600.4,90.55000000000001,2.41,29.8,87.6,46.0,264.6,Mexico,USDA,2019
67,Corn,Legumes,461.3,34.42,63.5,59.39,4.47,2.0,578.8,207.5,122.78,17.98,247.1,17.5,36.0,70.9,Uk,NutritionData.self.com,2021
68,Banana,Proteins,187.1,39.64,36.58,107.84,0.82,23.33,955.2,1049.6,58.69,7.87,246.5,20.4,2.0,188.0,Uk,USDA,2021
69,Green Beans,Vegetables,247.0,24.77,76.35,1.14,8.01,15.58,144.0,655.1,33.13,7.51,123.5,31.8,72.0,291.2,Usa,USDA,2018
70,Celery,Proteins,517.5,23.465000000000003,27.09,61.71,11.83,4.0,1939.9,575.8,40.52,2.71,336.1,14.3,62.0,199.8,Germany,FAO,2022
71,Carrot (Xx),Nuts & Seeds,498.9,29.86,43.62,29.72,10.67,45.84,268.2,378.0,90.08,13.07,484.1,31.9,69.0,75.0,India,FAO,2023
72,Oats (Vd),Grains,762.9,16.52,15.35,28.64,17.14,30.47,203.4,211.0,78.31,4.36,463.9,47.8,67.0,41.2,Australia,Kaggle FoodDB,2024
73,Celery,Grains,175.2,21.66,20.43,15.32,14.03,8.48,212.7,49.2,65.24,18.96,318.4,39.2,108.0,92.7,Australia,NutritionData.self.com,2023
74,Cottage Cheese,Oils,435.1,21.96,67.05,73.05,18.62,47.51,1207.9,20.4,18.0,13.75,125.5,56.4,58.0,292.1,Uk,Kaggle FoodDB,2023
75,Brown Rice,Nuts & Seeds,545.2,1.2,62.28,72.81,6.52,27.61,1985.7,602.8,180.64,9.92,289.6,13.9,102.0,273.2,Brazil,OpenFoodFacts,2020
76,Tomato (Oz),Oils,424.1,38.95,51.74,3.95,13.72,32.87,342.5,871.0,48.54,9.535,322.2,77.2,45.0,251.3,Germany,USDA,2024
77,Egg,Oils,205.5,42.33,21.59,41.15,18.01,30.96,1786.0,207.9,75.87,17.26,19.3,72.5,3.0,19.9,Usa,OpenFoodFacts,2020
78,Strawberry,Oils,435.1,42.1,40.06,4.2,16.68,15.36,1560.4,712.8,29.39,17.58,58.4,54.0,67.0,113.9,Australia,OpenFoodFacts,2021
79,Spinach,Proteins,669.3,22.6,34.08,101.35,10.8,40.51,1687.4,279.3,181.55,16.43,38.0,23.5,52.0,56.2,Usa,NutritionData.self.com,2018
80,Turkey Breast,Legumes,218.9,0.52,47.56,55.1,5.58,41.86,37.6,1052.7,34.39,11.47,142.2,49.9,53.0,227.9,Australia,OpenFoodFacts,2019
81,Cucumber,Oils,65.3,7.58,58.93,100.2,18.0,56.18,1569.5,48.1,56.1,9.535,347.4,41.1,66.0,183.8,Mexico,OpenFoodFacts,2022
82,Garlic,Nuts & Seeds,196.8,40.41,60.84,59.02,16.57,52.56,333.1,399.2,52.85,9.84,492.5,97.9,108.0,168.2,Canada,NutritionData.self.com,2018
83,Kale,Oils,182.3,42.14,70.22,65.48,9.629999999999999,56.01,1473.2,884.1,150.77,1.49,191.9,61.6,18.0,166.0,China,NutritionData.self.com,2023
84,Mushroom,Grains,787.2,23.16,18.55,115.05,7.17,19.15,841.3,155.2,199.98,3.35,249.2,26.5,40.0,208.2,China,OpenFoodFacts,2024
85,Bell Pepper,Seafood,847.6,48.95,42.365,119.28,5.7,42.42,1914.6,740.7,108.87,11.72,152.1,32.9,3.0,123.0,India,USDA,2020
86,Bread (Whole Wheat) (Vg),Seafood,100.3,48.75,48.08,25.9,11.9,53.72,214.6,774.9,141.8,1.16,283.7,50.0,75.0,170.3,Uk,Kaggle FoodDB,2024
87,Corn (Kx),Oils,632.0,24.35,32.07,61.25,1.06,24.32,505.3,912.8,112.92,14.91,473.7,87.2,58.0,66.9,Uk,Kaggle FoodDB,2021
88,Cucumber,Seafood,342.4,35.99,0.66,92.78,13.46,26.61,1356.2,571.2,116.0,4.57,334.2,56.8,15.0,200.1,Usa,Kaggle FoodDB,2022
89,Oats,Legumes,461.3,29.96,4.86,64.69,0.91,28.27,1987.5,389.9,76.79,17.31,45.1,82.0,74.0,88.6,India,USDA,2023
90,Brown Rice,Oils,855.0,30.07,71.61,110.26,7.71,56.5,1264.8,480.1,118.92,9.76,330.6,78.5,39.0,116.0,Nigeria,NutritionData.self.com,2023
91,Shrimp,Oils,684.5,42.34,6.73,119.66,17.49,21.67,73.3,389.1,90.55000000000001,4.39,68.1,91.7,102.0,79.9,Australia,OpenFoodFacts,2021
92,White Rice,Nuts & Seeds,466.4,23.32,20.81,30.94,4.03,15.39,1038.8,791.7,55.85,13.85,333.8,2.4,93.0,269.0,Australia,NutritionData.self.com,2022
93,Turkey Breast (Tz),Proteins,611.8,45.28,79.81,63.95,0.63,32.64,1865.2,174.8,13.77,18.77,134.9,71.6,96.0,53.9,Mexico,OpenFoodFacts,2022
94,Egg,Fruits,466.1,10.58,27.17,62.614999999999995,12.25,4.16,1304.0,383.0,142.46,0.31,268.7,47.9,60.0,192.7,China,Kaggle FoodDB,2023
95,Bread (Whole Wheat) (Ax),Oils,617.7,25.42,32.41,2.23,15.47,50.6,937.95,398.4,135.24,7.56,314.2,21.7,54.0,298.1,Canada,FAO,2018
96,Avocado,Oils,603.6,35.81,43.27,40.41,17.02,24.11,1468.0,1097.5,136.6,4.45,127.4,72.7,48.0,117.6,China,Kaggle FoodDB,2020
97,Broccoli (Dy),Nuts & Seeds,642.2,33.22,19.9,74.05,10.95,28.81,1976.6,366.0,9.35,14.0,315.8,92.8,50.0,83.7,Mexico,NutritionData.self.com,2022
98,Peanut Butter (Dl),Oils,460.4,24.35,16.33,86.37,4.43,3.13,297.6,1121.4,187.17,1.81,422.2,95.8,102.0,50.9,Uk,USDA,2024
99,Sweet Potato,Oils,214.7,40.2,40.825,5.36,12.82,24.5,1686.1,546.5,129.37,18.04,462.4,33.2,16.0,264.5,Brazil,OpenFoodFacts,2023
100,Chicken Breast,Proteins,224.4,17.22,79.14,51.72,14.92,8.66,1915.3,1015.3,35.69,8.86,467.6,41.8,7.0,187.0,China,OpenFoodFacts,2020
101,Beef (Lean),Nuts & Seeds,835.9,32.0,39.31,47.47,10.285,56.52,1898.9,613.3,94.44,17.86,35.6,15.6,39.0,141.3,China,USDA,2023
102,Greek Yogurt,Nuts & Seeds,122.0,21.51,78.28,47.15,8.26,38.25,665.2,330.3,193.04,18.58,497.3,52.0,5.0,206.6,Canada,FAO,2024
103,Black Beans (Oe),Vegetables,367.7,24.2,59.73,58.97,3.54,27.7,1394.6,814.8,118.96,16.27,210.3,50.4,7.0,195.0,Nigeria,OpenFoodFacts,2023
104,Broccoli,Grains,81.7,17.58,38.02,52.5,5.26,59.09,384.5,964.5,14.86,12.8,237.2,88.9,10.0,75.8,India,NutritionData.self.com,2024
105,Celery,Nuts & Seeds,169.2,43.16,74.82,76.94,8.8,15.48,1726.1,36.0,160.52,15.47,188.2,57.3,60.0,63.7,Mexico,OpenFoodFacts,2021
106,Chicken Breast,Nuts & Seeds,133.0,19.26,26.89,78.38,12.18,44.21,1434.0,519.9,91.43,14.0,272.5,49.7,71.0,290.5,Mexico,OpenFoodFacts,2020
107,Apple,Dairy,383.9,3.86,31.44,49.12,9.37,29.94,1794.3,607.4,64.9,3.72,6.1,39.9,36.0,45.0,Usa,FAO,2022
108,Onion,Fruits,746.6,34.4,30.25,100.08,19.06,14.48,1239.3,896.3,80.81,8.0,259.0,39.6,56.0,179.8,Canada,OpenFoodFacts,2019
109,Apple,Nuts & Seeds,46.8,14.16,41.79,41.82,15.42,28.81,749.0,43.4,152.83,17.46,307.1,68.4,96.0,209.5,Uk,FAO,2023
110,Pork Loin (Pk),Proteins,754.7,16.61,29.72,39.23,10.385000000000002,22.55,914.4,52.0,70.93,9.76,442.9,60.4,30.0,199.0,Uk,FAO,2024
111,Tuna (Canned),Fruits,365.9,44.23,63.23,41.86,1.4,46.48,1415.6,821.3,27.52,3.3,356.3,14.5,82.0,167.9,Uk,NutritionData.self.com,2021
112,Apple,Vegetables,546.6,5.59,6.59,95.78,7.3,4.44,463.9,1012.6,104.53,9.7,245.0,5.8,108.0,28.1,Uk,OpenFoodFacts,2022
113,White Rice,Oils,246.8,12.45,31.88,0.17,3.82,24.52,937.95,437.1,191.93,9.55,249.2,72.9,21.0,85.5,Mexico,FAO,2018
114,Apple (Qb),Seafood,40.9,13.8,79.82,116.5,17.72,35.99,1248.8,104.7,186.21,6.92,363.4,82.1,96.0,191.0,India,Kaggle FoodDB,2023
115,Carrot (It),Nuts & Seeds,798.1,0.52,54.33,62.72,5.15,28.7,1305.9,377.4,95.32,5.03,228.6,77.5,5.0,192.0,Nigeria,NutritionData.self.com,2019
116,Cheddar Cheese,Dairy,256.4,38.86,66.76,18.55,8.1,22.39,1995.5,29.4,111.08,2.42,217.1,5.1,77.0,147.9,Usa,OpenFoodFacts,2023
117,Brown Rice,Oils,604.2,14.64,23.74,34.44,14.95,30.6,937.95,947.6,90.55000000000001,10.68,399.3,44.8,98.0,152.7,Nigeria,USDA,2022
118,Beef (Lean),Fruits,869.9,28.6,10.55,102.19,1.08,15.17,335.4,285.3,51.14,1.3,210.7,92.8,15.0,21.6,Australia,NutritionData.self.com,2021
119,Apple,Dairy,793.8,16.72,27.68,118.89,11.47,41.6,87.0,73.4,18.15,4.33,144.4,16.5,69.0,102.1,India,Kaggle FoodDB,2024
120,Almonds,Fruits,773.7,49.77,42.91,62.614999999999995,7.0,53.36,1317.7,233.2,98.905,10.12,84.4,45.3,31.0,112.1,Canada,FAO,2020
121,Lentils (Rr),Seafood,410.8,30.43,18.11,113.6,5.5,30.25,1028.4499999999998,414.8,190.22,8.31,323.3,12.4,76.0,196.1,Nigeria,USDA,2018
122,Carrot,Oils,681.1,24.35,61.44,119.79,17.9,51.4,272.9,367.0,104.15,0.35,215.8,65.9,54.0,235.9,Canada,Kaggle FoodDB,2021
123,Brown Rice (Op),Fruits,271.4,23.24,37.47,0.12,2.51,21.66,1580.1,1022.9,150.57,16.21,411.8,21.1,93.0,197.5,Germany,NutritionData.self.com,2019
124,Pork Loin (Sl),Vegetables,55.5,19.06,42.46,74.16,12.91,48.51,1868.8,771.9,92.15,12.56,470.6,59.1,62.0,223.2,Usa,OpenFoodFacts,2019
125,Brown Rice,Legumes,42.2,0.38,3.19,116.62,4.4,28.43,682.8,478.4,160.06,18.96,346.9,86.2,22.0,178.1,Brazil,Kaggle FoodDB,2021
126,Cucumber,Grains,703.2,29.2,43.63,97.03,17.24,57.72,1381.4,38.6,147.31,9.17,298.2,94.1,77.0,35.9,Germany,FAO,2024
127,Pineapple,Nuts & Seeds,418.1,25.035,9.73,35.89,10.73,40.57,1307.8,708.7,60.04,3.88,9.9,80.3,92.0,52.6,Nigeria,FAO,2021
128,Mushroom,Seafood,618.1,24.96,40.06,16.24,6.44,21.9,1433.9,1107.2,89.72,8.93,266.95,55.7,59.0,132.4,China,FAO,2018
129,Egg (Tl),Vegetables,633.5,47.85,79.25,56.25,4.91,36.39,216.5,844.8,189.12,4.38,109.7,10.6,98.0,111.8,Canada,FAO,2020
130,Greek Yogurt,Seafood,362.7,3.64,43.94,44.63,11.42,44.0,1838.9,313.6,19.8,4.66,266.95,22.5,47.0,244.2,Mexico,Kaggle FoodDB,2022
131,Beef (Lean),Nuts & Seeds,612.1,6.43,13.72,82.4,1.83,0.4,1630.0,175.0,87.32,9.92,487.5,7.2,72.0,214.8,Germany,OpenFoodFacts,2022
132,Shrimp (We),Vegetables,710.3,25.66,10.33,3.67,3.45,31.35,968.0,1034.9,130.45,3.0,170.3,41.3,64.0,98.8,Australia,USDA,2018
133,Salmon (Am),Legumes,461.3,6.89,53.02,59.39,19.94,59.84,1238.3,578.1,46.25,2.82,459.6,2.0,85.0,98.9,Uk,FAO,2020
134,Corn,Legumes,192.7,26.52,76.5,26.43,16.8,51.13,1685.8,1122.9,134.34,7.29,456.8,7.4,64.0,115.8,Canada,USDA,2023
135,Strawberry,Nuts & Seeds,222.4,39.47,33.26,103.85,4.35,31.62,805.3,2.2,15.67,16.81,467.3,57.2,95.0,288.0,Germany,FAO,2024
136,Bread (Whole Wheat),Proteins,525.5,6.6,55.5,110.65,0.77,34.25,1641.1,392.9,194.91,11.56,233.7,85.1,63.0,120.5,Nigeria,NutritionData.self.com,2024
137,Quinoa (Bu),Seafood,216.8,23.665,63.88,88.9,9.65,45.7,768.9,865.3,137.94,18.1,499.7,20.3,105.0,50.1,Nigeria,OpenFoodFacts,2024
138,White Rice,Fruits,553.9,40.82,75.39,54.2,5.64,41.76,942.1,766.3,5.87,9.6,333.8,25.8,80.0,265.1,Uk,Kaggle FoodDB,2024
139,Blueberries (Pf),Vegetables,296.2,12.65,19.91,62.28,18.03,59.85,566.3,981.5,58.6,5.49,207.8,1.8,13.0,47.5,Australia,FAO,2021
140,Avocado (Cn),Legumes,438.9,38.94,53.46,59.41,16.79,20.17,553.1,672.0,170.22,5.41,482.0,77.3,29.0,101.0,Uk,USDA,2018
141,Pineapple (Ji),Oils,694.1,19.06,49.12,119.01,8.66,54.9,1843.1,387.9,4.02,19.64,419.4,83.1,16.0,230.6,India,USDA,2024
142,Salmon (Dp),Seafood,417.2,6.25,56.83,12.18,11.65,26.83,425.6,426.8,55.69,0.76,450.3,87.7,47.0,201.4,Australia,Kaggle FoodDB,2023
143,Zucchini,Grains,286.1,35.43,0.49,63.71,4.71,24.53,1052.8000000000002,515.8,185.21,0.92,163.6,23.7,11.0,77.4,Australia,NutritionData.self.com,2022
144,Green Beans,Proteins,571.1,20.29,37.49,46.95,18.76,30.76,1694.2,412.0,85.61,1.67,164.5,98.6,23.0,269.8,Germany,FAO,2024
145,Cucumber (Wf),Seafood,346.4,47.03,34.29,44.12,10.44,58.79,303.5,1123.0,6.02,1.95,266.95,17.6,105.0,203.8,Nigeria,OpenFoodFacts,2024
146,Sweet Potato,Proteins,307.1,27.9,31.49,54.68,4.64,58.72,1582.1,93.6,46.2,2.87,100.7,98.0,42.0,295.5,India,OpenFoodFacts,2019
147,Pineapple,Dairy,290.8,4.74,56.12,24.74,15.5,3.37,1363.3,342.0,135.43,17.38,384.2,98.8,49.0,220.6,Uk,FAO,2024
148,Pork Loin,Legumes,226.1,27.45,74.6,86.01,6.41,5.64,696.9,56.8,130.45,17.0,167.3,63.5,78.0,89.6,India,OpenFoodFacts,2022
149,Oats (Oi),Seafood,702.2,13.26,61.04,82.17,10.9,7.55,1728.9,1089.5,33.24,18.1,13.0,98.3,55.0,269.3,India,FAO,2021
150,Peas,Legumes,318.2,21.75,41.04,108.26,9.23,16.53,975.7,945.3,28.6,15.08,144.0,34.5,34.0,186.4,China,Kaggle FoodDB,2020
151,Garlic (Kv),Oils,460.3,32.18,40.825,27.04,13.96,5.16,220.2,686.8,21.29,5.93,29.4,58.0,84.0,261.4,Germany,OpenFoodFacts,2022
152,Tofu (Xk),Proteins,445.95,32.72,49.86,28.5,1.88,59.98,943.9,25.7,25.55,9.76,195.2,5.6,46.0,200.6,India,USDA,2024
153,Onion,Dairy,745.5,7.09,55.72,80.07,7.76,32.94,599.1,549.6,23.95,12.01,248.0,47.3,18.0,162.0,Brazil,Kaggle FoodDB,2021
154,Pasta,Vegetables,549.6,36.0,15.43,47.59,8.66,7.48,935.2,194.5,36.21,9.7,402.4,21.4,3.0,72.3,Uk,FAO,2023
155,Avocado,Dairy,293.7,9.83,2.57,29.39,1.68,33.8,1008.7,149.2,178.61,11.05,471.4,0.6,55.0,263.9,Brazil,Kaggle FoodDB,2018
156,Oats,Legumes,457.2,4.42,57.21,98.14,11.25,5.99,1584.9,571.3,141.42,16.73,492.6,43.6,22.0,275.3,Nigeria,NutritionData.self.com,2021
157,Milk (Whole),Seafood,457.15,15.04,28.1,59.28,10.5,48.32,1427.9,720.6,71.19,9.57,297.4,12.1,20.0,74.6,Germany,NutritionData.self.com,2018
158,Brown Rice,Oils,139.0,24.4,3.21,73.31,10.59,10.14,546.1,746.4,89.31,2.52,40.6,91.9,109.0,214.0,China,USDA,2018
